MasterGloss	originalform	originalgloss	Plomley_Headword	Plomley_note	recorder	recordid	speakercode	tribalregion	region
knuckle	reekateninna		reekateninna	Seem to be ree (hand) with descriptive (?) ending, some appear to be combination of two dialectal words, most from MJ and CR sources	mj	147		oyb	Oyster Bay
knuckle	ria puggana		ria puggana	Seem to be ree (hand) with descriptive (?) ending, some appear to be combination of two dialectal words, most from MJ and CR sources	mj	150		b	Bruny Island
knuckle	ria puggana		ria puggana	Seem to be ree (hand) with descriptive (?) ending, some appear to be combination of two dialectal words, most from MJ and CR sources	mj	9269		s	Southern
lake	coo.ner	lagoon	coo.ner		gar	4656	? mn	unk	unknown15
lake	coo (abbreviation)	lagoon	coo.ner		gar	4657	? mn	unk	unknown15
lake	kannah	pool, lagoon	coo.ner		mj	4658		b	Bruny Island
lake	kannah	pool, lagoon	coo.ner		mj	9758		s	Southern
lake	due.der.er.nee.ne	lagoon	due.der.er.nee.ne		gar	4659	lj	unk	unknown15
lake	dull.dri.la	lake	dull.dri.la		cr	4660		ps	Port Sorell, northern
lake	lee.how.lun.nen.er	lake (?)	lee.how.lun.nen.er		gar	4661	mn	unk	unknown15
lake	lei.ver.la.ver.noop	lagoon	lei.ver.la.ver.noop		cr	4662		wc	Western Coast
lake	low.lan.ner	lake, lagoon	low.lan.ner		gar	4663		oyb	Oyster Bay
lake	low.lun.yer	lake	low.lan.ner		gar	4664	lm	unk	unknown15
lake	meen.waw.ter.nun.ne	lagoon	meen.waw.ter.nun.ne		gar	4665		unk	unknown15
lake	miena	lake, lagoon	miena		mj	4666		oyb	Oyster Bay
lake	mena	lake, lagoon	miena		mj	4667		oyb	Oyster Bay
lake	mienameena	pool, lagoon	miena		mj	4668		oyb	Oyster Bay
lake	lia mena	lake, lagoon	miena		mj	4669		b	Bruny Island
lake	ly.meen.ne	lake	miena		gar	4670		? b	
lake	lia mena	lake, lagoon	miena		mj	9759		s	Southern
lake	parn.dod.ic.ar	lagoon	parn.dod.ic.ar		gar	4671		cg	Cape Grim, NW Tasmania
lame	lug.ger.er.woon.ner	sore feet	lug.ger.er.woon.ner		st	4672		e	Eastern
lame	luggamutti	lame	lug.ger.er.woon.ner		mj	4673		b	Bruny Island
lame	luggamutte	lame	lug.ger.er.woon.ner		mj	4674		b	Bruny Island
lame	raggamuttah	lame	lug.ger.er.woon.ner		mj	4675		b	Bruny Island
lame	raggamuttah	limp left foot	lug.ger.er.woon.ner		mj	4676		b	Bruny Island
lame	luggamutti	lame	lug.ger.er.woon.ner		mj	9760		s	Southern
lame	luggamutte	lame	lug.ger.er.woon.ner		mj	9761		s	Southern
lame	raggamuttah	lame	lug.ger.er.woon.ner		mj	9762		s	Southern
lame	raggamuttah	limp left foot	lug.ger.er.woon.ner		mj	9763		s	Southern
lame	'ngaee	halt	'ngaee		mj	4677		b	Bruny Island
lame	unguniack	halt	'ngaee		mj	4678		oyb	Oyster Bay
lame	'ngaee	halt	'ngaee		mj	9764		s	Southern
lame	playwarrungana	lame	playwarrungana		mj	4679		oyb	Oyster Bay
lame	playwughrena	limp left foot	playwarrungana		mj	4680		oyb	Oyster Bay
lame	wughnna eleebana	limp right foot	playwarrungana		mj	4681		oyb	Oyster Bay
large	rogoteleebana	long	eleebana		mj	4682		oyb	Oyster Bay
large	raondeleeboa	long row	eleebana		mj	4683		oyb	Oyster Bay
large	ungoyeleebana	straight	eleebana		mj	4684		oyb	Oyster Bay
large	elpenia	grand	eleebana		gm	4685		dl	Port Dalrymple, Tamar River
large	elbenia	grand	eleebana		gm	4686		dl	Port Dalrymple, Tamar River
large	takkaro deleeaban righ eleebana	tall	eleebana		mj	4687		oyb	Oyster Bay
large	takkaro deleebano righ-eleebana	tall	eleebana		mj	4688		oyb	Oyster Bay
large	jãckěrõměnǎr	big, large	jackeromenar		sn	4689		unk	unknown15
large	kel.lueth.er.per.kur.rer	big	kel.lueth.er.per.kur.rer		gar	4690		cp	Cape Portland
large	ko.wa.lan.ner	big, great	ko.wa.lan.ner		gar	4691	jn	unk	unknown15
large	la.ke.not.ti.lare	big one	la.ke.not.ti.lare		cr	4695		ps	Port Sorell, northern
large	la.ke.ca.bone	big	la.ke.not.ti.lare		cr	4696		ps	Port Sorell, northern
large	lack.er.rer.nun.ne	big	lack.er.rer.nun.ne		gar	4692		cp	Cape Portland
large	lar.ker.rer.en.ner	big, large, big one	lack.er.rer.nun.ne		cr	4693		bl	Ben Lomond
large	lackrana	great	lack.er.rer.nun.ne		jj	4694		unk	unknown15
large	long.tine.ner	big, great	long.tine.ner		gar	4697		oyb	Oyster Bay
large	long.er.tine.ner	big one	long.tine.ner		gar	4698		oyb	Oyster Bay
large	larng.ty.e.lip.pen.ner	big, large	long.tine.ner		cr	4699		br	Big River
large	larng.ti.e.lip.pen.ner	big, large	long.tine.ner		cr	4700	lr	br	Big River
large	mar.re.wer	large	mar.re.wer		cr	4701		wc	Western Coast
large	marrinook	large	mar.re.wer		jd	4702		s	Southern
large	mull.le.ne.re.pare	large	mull.le.ne.re.pare		cr	4703		ps	Port Sorell, northern
large	pawpela	large	pawpela		mj	4704		oyb	Oyster Bay
large	papla	big	pawpela		mj	4705		b	Bruny Island
large	pãr	big, great	pawpela		st	4706		b	Bruny Island
large	par.nyrae	large	pawpela		gar	4707		b	Bruny Island
large	papla	big	pawpela		mj	9765		s	Southern
large	proina nughabah	large	proina		mj	4708		b	Bruny Island
large	proina nughabah	large	proina		mj	9766		s	Southern
large	reekara	a long row	reekara		mj	4709		b	Bruny Island
large	reekara	a long row	reekara		mj	9767		s	Southern
large	rotuli	long	rotuli		mj	4710		b	Bruny Island
large	rotulih	tall	rotuli		mj	4711		b	Bruny Island
large	rotuli	long	rotuli		mj	9768		s	Southern
large	rotulih	tall	rotuli		mj	9769		s	Southern
large	teeunna	big	teeunna		mj	4712		oyb	Oyster Bay
large	tow.roar.rer	big	tow.roar.rer		gar	4713		bl-kaurna	Kaurna
large	tunghabé	straight	tunghabe		mj	4714		b	Bruny Island
large	tunghabé	straight	tunghabe		mj	9770		s	Southern
large	wẽẽmǐněr	more	weeminer		sn	4715		unk	unknown15
last	loo.rick.in.nin.er	to be last	loo.rick.in.nin.er		gar	4716	mn	unk	unknown15
last	loente wannela	walk last in file	loo.rick.in.nin.er		mj	4717		oyb	Oyster Bay
last	loente wamla	walk last in file	loo.rick.in.nin.er		mj	4718		oyb	Oyster Bay
last	mituggara murawamena	walk last in file	mituggara		mj	4719		b	Bruny Island
last	mituggara murawamena	walk last in file	mituggara		mj	9771		s	Southern
last	ware.reng.er.ner	to be last	ware.reng.er.ner		gar	4720		oyb	Oyster Bay
last	ware.reng.en.er	to be last	ware.reng.er.ner		gar	4721	kk	unk	unknown15
last	ware.ren.nee	to be last	ware.reng.er.ner		gar	4722		b	Bruny Island
later	by.ny.ly.a.mul.de.rop.per	I will see you by and by	by.ny.ly.a.mul.de.rop.per		cr	4723		ps	Port Sorell, northern
later	gunnyem waubberaboo	by and by	gunnyem		mj	4724		b	Bruny Island
later	gunnyem waubberaboo	by and by	gunnyem		mj	9772		s	Southern
later	keen.ner.muger.rem.en.er	? by and by	keen.ner.muger.rem.en.er		gar	4725		wc	Western Coast
later	mat.her.rone.ner	by and by	mat.her.rone.ner		gar	4726		b	Bruny Island
later	nar.per	by and by	nar.per		gar	4727		ty	Tyreelore, dialect spoken by sealer’s women
later	nar.per	by and by, you first	nar.per	meaning of "you first" unclear, possibly 'you go first and I will come presently'	gar	4728		ty	Tyreelore, dialect spoken by sealer’s women
later	nee.buer	you first	nar.per		gar	10495		e	Eastern
later	nee.buer	you first	nar.per		gar	10954		oyb	Oyster Bay
later	nar.pone.wer	by and by	nar.pone.wer		gar	4730	plh	unk	unknown15
later	nar.pone.wer	by and by	nar.pone.wer		gar	4731		lw	Lowreener tribe, rocky point, west coast
later	nar.pum.ver	by and by	nar.pone.wer		cr	4732		ps	Port Sorell, northern
later	nar.pu.wer	by and by	nar.pone.wer		cr	4733		ps	Port Sorell, northern
later	pair.rer.ner.hoo.loon.ner	by and by	pair.rer.ner.hoo.loon.ner		gar	4734		ri	Robbins Island, NW
later	par.in.now.er.low	by and by	pair.rer.ner.hoo.loon.ner		gar	4735		unk	unknown15
later	pǎrcõnǐǎck	presently	parconiak		sn	4736		unk	unknown15
later	peer.he.per.lay	by and by	peer.he.per.lay		gar	4737		cp	Cape Portland
later	peer.he (abbreviation)	by and by	peer.he.per.lay		gar	4738		cp	Cape Portland
later	peer.he	by and by	peer.he.per.lay		gar	4739		oyb	Oyster Bay
later	pe.re	by and by	peer.he.per.lay		cr	4740	lr	br	Big River
later	piyeré	by and by	peer.he.per.lay		mj	4741		oyb	Oyster Bay
later	pairanapry	by and by, soon	peer.he.per.lay		bm	4742		s	Southern
later	pẽẽmǎr	presently	peer.he.per.lay		sn	4743		unk	unknown15
later	beer.rer	by and by	peer.he.per.lay		gar	4744		unk	unknown15
later	tal.tith.e.yer	by and by	tal.tith.e.yer		gar	4745		pd	Port Davey, SW
laugh (to)	bil.le	laugh	bil.le		gar	4746		ri	Robbins Island, NW
laugh (to)	bill.le	laugh	bil.le		gar	4747		ri	Robbins Island, NW
laugh (to)	boabeneetea	grin	boabeneetea		mj	10496		w	western tribes
laugh (to)	boabeneetea	grin	boabeneetea		mj	10955		nw	
laugh (to)	cun.car.ne	laugh	cun.car.ne		cr	4749		bl-kaurna	Kaurna
laugh (to)	drohi	laugh	drohi		pl	4750		se	Southeastern
laugh (to)	drohi	rire	drohi		pp	4751		se	Southeastern
laugh (to)	ke.mur.ick.er	laugh	ke.mur.ick.er		cr	4752		wc	Western Coast
laugh (to)	kame.ruck.er	laugh	ke.mur.ick.er		gar	4753		cg	Cape Grim, NW Tasmania
laugh (to)	kame.ruck.er	laugh	ke.mur.ick.er		gar	4754		ri	Robbins Island, NW
laugh (to)	kay.we.mur.ic (x)	laugh	ke.mur.ick.er		gar	4755		unk	unknown15
laugh (to)	kay.mur.re.ker (x)	laugh	ke.mur.ick.er		gar	4756		unk	unknown15
laugh (to)	kay.me.more.de.ker	laugh	ke.mur.ick.er		gar	4757		ri	Robbins Island, NW
laugh (to)	leenealé	mirth	leeneale		mj	4758		oyb	Oyster Bay
laugh (to)	moyetungali	grin	moyetungali		mj	4759		b	Bruny Island
laugh (to)	moyetungali	grin	moyetungali		mj	9773		s	Southern
laugh (to)	pa.ger.rer.pel.er.le	don't laugh	pa.ger.rer.pel.er.le		cr	4760		bl	Ben Lomond
laugh (to)	pa.yer.rer.pel.er.le	don't laugh	pa.ger.rer.pel.er.le		cr	4761		bl	Ben Lomond
laugh (to)	pe.neck.en.ner	laugh	pe.neck.en.ner		cr	4762		br	Big River
laugh (to)	pĩckěrnǎr	laugh	pe.neck.en.ner		sn	4763		unk	unknown15
laugh (to)	pigne	rire	pe.neck.en.ner		gm	4764		dl	Port Dalrymple, Tamar River
laugh (to)	peẽn.ny̆	laugh	pe.neck.en.ner		st	4765		b	Bruny Island
laugh (to)	pe.nin.na	laughter	pe.neck.en.ner		bd	4766		oyb	Oyster Bay
laugh (to)	binana	laughing	pe.neck.en.ner		rb	4768		b	Bruny Island
laugh (to)	peninna	laugh	pe.neck.en.ner		mj	10497		w	western tribes
laugh (to)	peninna	laugh	pe.neck.en.ner		mj	10956		nw	
laugh (to)	pĩllěrmõlǎr	laugh	pillermolar		sn	4769		unk	unknown15
laugh (to)	mãckěrěrpǐllãrně	laugh	pillermolar		sn	4770		unk	unknown15
laugh (to)	play.pare.lare	laugh	play.pare.lare		cr	4771		ps	Port Sorell, northern
laugh (to)	play.pare	laugh	play.pare.lare		cr	4772		ps	Port Sorell, northern
laugh (to)	play.pare.lare	why don't you?	play.pare.lare		cr	4773		ps	Port Sorell, northern
laugh (to)	poenghana	laugh	poenghana		mj	4774		b	Bruny Island
laugh (to)	poeenyeggana	laugh	poenghana		mj	4775		oyb	Oyster Bay
laugh (to)	penamoonalane	mirth	poenghana		mj	4776		b	Bruny Island
laugh (to)	monapaooniack paoreetye	grin	poenghana		mj	4777		oyb	Oyster Bay
laugh (to)	poenghana	laugh	poenghana		mj	9774		s	Southern
laugh (to)	penamoonalane	mirth	poenghana		mj	9775		s	Southern
laugh (to)	pughoneoree	smile	pughoneoree		mj	4778		oyb	Oyster Bay
laugh (to)	panapawaweabé	smile	pughoneoree		mj	4779		b	Bruny Island
laugh (to)	panapawaweabé	smile	pughoneoree		mj	9776		s	Southern
laugh (to)	tenalga	laugh	tenalga		jj	4780		n	Northern tribes, but not always those to westward of the Tamar River
laugh (to)	tenalga	laugh	tenalga		bm	4781		ch	Circular Head, NW Tasmania
lazy	cat.ten.ner.vun.nuke	lazy	cat.ten.ner.vun.nuke		gar	4782		unk	unknown15
lazy	mienoyack	lazy, indolent	mienoyack		mj	4783		oyb	Oyster Bay
lazy	meallee tonerragetta	inactive, indolent	mienoyack		mj	4784		oyb	Oyster Bay
lazy	mimooneka nentaca nepoony	indolent	mienoyack		mj	4785		oyb	Oyster Bay
lazy	němẽẽněr	lazy	nemeener		sn	4786		unk	unknown15
lazy	nee.moon.nar	lazy	nemeener		st	4787		n	Northern tribes, but not always those to westward of the Tamar River
lazy	nee.moon.nar	lazy	nemeener		st	4788		e	Eastern
lazy	ruété	lazy, indolent	rudanah		mj	4790		b	Bruny Island
lazy	rannah moorinah	indolent, inactive	rudanah		mj	4791		b	Bruny Island
lazy	ruété	lazy, indolent	rudanah		mj	9777		s	Southern
lazy	rannah moorinah	indolent, inactive	rudanah		mj	9778		s	Southern
lazy	rudanah	lazy, indolent	rudanah		mj	10498		w	western tribes
lazy	rudanah	lazy, indolent	rudanah		mj	10957		nw	
lazy	tee.de	idle	tee.de		st	4792		b	Bruny Island
lazy	trar.ner.vur.ne	lazy	trar.ner.vur.ne		st	4793		b	Bruny Island
lazy	wãrtěrpõolyǎr	lazy	warterpoolyar	possible association with wore.ter.moon.er (sleep)	sn	4794		unk	unknown15
lazy	war.ter.pool.yer	lazy	warterpoolyar		st	4795		n	Northern tribes, but not always those to westward of the Tamar River
leaf	parocheboina	leaf	parocheboina		mj	10668		w	western tribes
leaf	parocheboina	leaf	parocheboina		mj	11127		nw	
leaf	poruttyé	leaf	poruttye		mj	8436		oyb	Oyster Bay
leaf	porogui lia	feuilles d'arbre	poruttye		drm	8437		se	Southeastern
leaf	proié	leaf	proie		mj	8438		b	Bruny Island
leaf	driué	leaf	proie		pl	8439		se	Southeastern
leaf	drué	feuille d'arbre	proie		pp	8440		se	Southeastern
leaf	proié	leaf	proie		mj	10151		s	Southern
leafless	paroytimena	leafless	parochyateemena		mj	8443		b	Bruny Island
leafless	paroytimena	leafless	parochyateemena		mj	10152		s	Southern
leafless	parochyateemena	leafless	parochyateemena		mj	10669		w	western tribes
leafless	parochyateemna	leafless	parochyateemena		mj	10670		w	western tribes
leafless	parochyateemena	leafless	parochyateemena		mj	11128		nw	
leafless	parochyateemna	leafless	parochyateemena		mj	11129		nw	
leafless	poruttye-mayeck	leafless	poruttye-mayeck		mj	8444		oyb	Oyster Bay
leafless	paruye noyemaeck	leafless	poruttye-mayeck		mj	8445		oyb	Oyster Bay
leafless	paruye-noyemaeck	leafless	poruttye-mayeck		mj	8446		oyb	Oyster Bay
leech	liawena	leech	liawena	probably not word for 'leech' but for 'water' (q.v.)	mj	10486		w	western tribes
leech	liawena	leech	liawena	probably not word for 'leech' but for 'water' (q.v.)	mj	10945		nw	
leech	pang.her	small leech	pang.her		gar	4415		b	Bruny Island
leech	pung.her	leech	pang.her		gar	4416		b	Bruny Island
leech	pang.her	leech	pang.her		gar	4417		wp	West Point, west coast
leech	pang.er	leech	pang.her		gar	4418		cg	Cape Grim, NW Tasmania
leech	pangah	leech	pang.her		mj	4419		b	Bruny Island
leech	pangah	leech	pang.her		mj	9733		s	Southern
leech	par.pine.ner	leech	par.pine.ner		gar	4420	lj	unk	unknown15
leech	pip.per.ner	leech	pip.per.ner		gar	4421		cp	Cape Portland
leech	pue.pe.ner	leech	pip.per.ner		gar	4422		cp	Cape Portland
leech	pip.pen.ner	leech	pip.per.ner		gar	4423		cp	Cape Portland
leech	praim.me	large leech	praim.me		gar	4424		b	Bruny Island
leech	pyenna	leech	pyenna		mj	4425		oyb	Oyster Bay
left-handed	nore.der		nore.der		gar	161		b	Bruny Island
leg	kum.meen.ner		cum.meen.ter		gar	268		pr	Piper River, NE
leg	cum.meen.ter		cum.meen.ter		gar	10287		pr	Piper River, NE
leg	cum.meen.ter		cum.meen.ter		gar	10746		cp	Cape Portland
leg	leea		leea		jj	269		w	western tribes
leg	peea		leea		bm	270		w	western tribes
leg	lu.gu.na		lu.gu.na		bd	287		oyb	Oyster Bay
leg	lue.gen.ner		lu.gu.na		gar	288		oyb	Oyster Bay
leg	lagana		lu.gu.na		jj	289		unk	unknown15
leg	langna	jambe	lu.gu.na		gm	290		dl	Port Dalrymple, Tamar River
leg	lunga1na1 (Greek u)		lu.gu.na		br	291		se	Southeastern
leg	leoonyana	left leg	lu.gu.na		mj	292		oyb	Oyster Bay
leg	leoonya eleebana	right leg	lu.gu.na		mj	293		oyb	Oyster Bay
leg	latanama		lu.gu.na		lh	294		unk	unknown15
leg	lathanama		lu.gu.na		jj	295		e	Eastern
leg	luer.ran.ner		luer.ran.ner		gar	271		cp	Cape Portland
leg	luer.ran.ner		luer.ran.ner		gar	272		n (? = ne)	
leg	luer.ran.ner		luer.ran.ner		gar	273	lj	unk	unknown15
leg	loo.er.run.er	leg, shin	luer.ran.ner		gar	275		unk	unknown15
leg	lũrerěněr		luer.ran.ner		sn	276		unk	unknown15
leg	lu.run.er	calf, leg	luer.ran.ner		cr	277		bl	Ben Lomond
leg	leurina		luer.ran.ner		rb	278		b	Bruny Island
leg	lõorěnněh		luer.ran.ner		wb	279		unk	unknown15
leg	loorenneh		luer.ran.ner		bk	280		unk	unknown15
leg	lũ.ěr.ry̆		luer.ran.ner		st	281		b	Bruny Island
leg	lurè	mollet	luer.ran.ner		pp	282		se	Southeastern
leg	lerai	jambes	luer.ran.ner		dr	283		se	Southeastern
leg	loor.ran.ner		luer.ran.ner		gar	10288		pr	Piper River, NE
leg	loor.ran.ner		luer.ran.ner		gar	10747		cp	Cape Portland
leg	luggunagoota	left leg	luggra		mj	286		b	Bruny Island
leg	luggunagoota	left leg	luggra		mj	9278		s	Southern
leg	luggra-niré	right leg	luggra	no more than niree (good; ending goota (left) also seen in 'ngotta (left hand); eleebana (right) is ny.er.lib.ben.ner (good)	mj	10289		w	western tribes
leg	luggrangootta	left leg	luggra		mj	10290		w	western tribes
leg	luggra-niré	right leg	luggra	no more than niree (good; ending goota (left) also seen in 'ngotta (left hand); eleebana (right) is ny.er.lib.ben.ner (good)	mj	10748		nw	
leg	luggrangootta	left leg	luggra		mj	10749		nw	
leg	pleg'ǔrněr		pleen.ner		sn	297		unk	unknown15
leg	prer.ner	calf of leg	pleen.ner		cr	298		br	Big River
leg	pleen.ner		pleen.ner		st	10291		e	Eastern
leg	pleen.ner		pleen.ner		st	10750		sp	Swanport, east coast
leg	pleen.ner		pleen.ner		st	11209		oyb	Oyster Bay
leg	porkavina	legs and hands	porkavina	may belong to por.ro.ner group (knee)	ar	299		unk	unknown15
leg	tee.bur.ic		tee.bur.ic		gar	300		? wc	
leg	ter.ner		ter.ner	may correspond to the tur.lare (and perhaps teigna) groups (thigh), but ter.ner group is based upon only CR records. May relate to confusion of meaning in English between leg (whole limb) and leg (part between knee and ankle). If refer to whole limb, may be that failure to recognise thigh and leg as separate parts was confined to west coast people. Use of distinct words for thigh and leg by most of tribes and distinctness in words for other parts of limb indicate that Tasmanians had clear idea of separate parts of lower limb	cr	301	lr	br	Big River
leg	ter		ter.ner	may correspond to the tur.lare (and perhaps teigna) groups (thigh), but ter.ner group is based upon only CR records. May relate to confusion of meaning in English between leg (whole limb) and leg (part between knee and ankle). If refer to whole limb, may be that failure to recognise thigh and leg as separate parts was confined to west coast people. Use of distinct words for thigh and leg by most of tribes and distinctness in words for other parts of limb indicate that Tasmanians had clear idea of separate parts of lower limb	cr	302		ps	Port Sorell, northern
leg	wãrk_x0008_ẽllǎr	calf of leg	warkellar		sn	303		unk	unknown15
leg	warrina niré	right leg	warkellar	no more than niree (good; ending goota (left) also seen in 'ngotta (left hand); eleebana (right) is ny.er.lib.ben.ner (good)	mj	304		b	Bruny Island
leg	warrina niré	right leg	warkellar	no more than niree (good; ending goota (left) also seen in 'ngotta (left hand); eleebana (right) is ny.er.lib.ben.ner (good)	mj	9279		s	Southern
lick (to)	neungulee		neungulee		mj	4796		oyb	Oyster Bay
lick (to)	nugra mainre		nugra	possible association of mainre with men.ny (tongue)	mj	4797		b	Bruny Island
lick (to)	nugra mainre		nugra	possible association of mainre with men.ny (tongue)	mj	9779		s	Southern
lie (a)	her.yer.na.tur.re	don't tell a lie	her.yer.na.tur.re	same as wer.wer.ra.ar.te.er (speak the truth)	cr	4798		bl	Ben Lomond
lie (a)	her.ger.na.tur.re	don't tell a lie	her.yer.na.tur.re		cr	4799		bl	Ben Lomond
lie (a)	in.er.kie.the.came.cow.wer.min.came	lie	in.er.kie.the.came.cow.wer.min.came		cr	4800		wc	Western Coast
lie (a)	kateena	to lie	kateena		jd	4801		s	Southern
lie (a)	leeng.troo.re.yer	lie	leeng.troo.re.yer		gar	4802		cp	Cape Portland
lie (a)	linughé noilé	lie	linughe	has noile (bad) added to it	mj	4803		b	Bruny Island
lie (a)	laninga noilé	falsehood	linughe		mj	4804		b	Bruny Island
lie (a)	linughé noilé	lie	linughe	has noile (bad) added to it	mj	9780		s	Southern
lie (a)	laninga noilé	falsehood	linughe		mj	9781		s	Southern
lie (a)	min.nin.tueng.ger.ly	lie	min.nin.tueng.ger.ly		gar	4805		b	Bruny Island
lie (a)	manengtyangha	lie	min.nin.tueng.ger.ly		mj	4806		oyb	Oyster Bay
lie (a)	maneentayana	falsehood	min.nin.tueng.ger.ly		mj	4807		oyb	Oyster Bay
lie (a)	tyangamoneeny rapparé	lie	min.nin.tueng.ger.ly		mj	4808		oyb	Oyster Bay
lie (a)	towlangang	to lie	min.nin.tueng.ger.ly		jj	4809		unk	unknown15
lie (a)	towlangany	tell lies	min.nin.tueng.ger.ly		bmm	4810		unk	unknown15
lie (a)	min.nin.tueng.ger.ly	lie	min.nin.tueng.ger.ly		gar	9782		s	Southern
lie (a)	nin.duck.er.nook	to tell a lie	nin.duck.er.nook		cr	4811		wc	Western Coast
lie (a)	nin.duck.er.noock	to tell a lie	nin.duck.er.nook		cr	4812		wc	Western Coast
lie (a)	o.ta.yer.na.te	don't tell a lie	o.ta.yer.na.te		cr	4813		bl	Ben Lomond
lie (a)	owng.hen.ne	lie	owng.hen.ne	differs from 'ngonyneealeebya (true) only in additio nof eleebana (good) to second word	gar	4814		ty	Tyreelore, dialect spoken by sealer’s women
light (make) the fire (to)	mo.yer.way.ne		mo.yer.way.ne		cr	3481		ps	Port Sorell, northern
light (make) the fire (to)	mo.wa.ne.pare		mo.yer.way.ne		cr	3482		ps	Port Sorell, northern
light (make) the fire (to)	mo.way.ne.pare		mo.yer.way.ne		cr	3483		ps	Port Sorell, northern
light (make) the fire (to)	mo.yer.wa.ne		mo.yer.way.ne		cr	3484		ps	Port Sorell, northern
light (make) the fire (to)	per.ler.we.pe.nup.ple		per.ler.we.pe.nup.ple		cr	3485		bl	Ben Lomond
light (make) the fire (to)	per.le.we.pe.nup.ple		per.ler.we.pe.nup.ple		cr	3486		bl	Ben Lomond
light (make) the fire (to)	toie.lo.per		toie.lo.per		cr	3487		wc	Western Coast
lightning	boura (uné)	eclair	boura	may just be bura (thunder) and 'ngune (fire)	pp	4815		se	Southeastern
lightning	une bura	lightning	boura		pl	4816		se	Southeastern
lightning	yarra	fire	boura		ws	11820	im	se	Southeastern
lightning	lee.nar.rer.ner	lightning	lee.nar.rer.ner		st	4817		e	Eastern
lightning	nar.no.bun.ner	electric spark	nar.no.bun.ner		gar	4818	lj	unk	unknown15
lightning	nar.no.bun.ner	electric spark	nar.no.bun.ner		gar	4819		ps	Port Sorell, northern
lightning	nammorgun	lightning	nar.no.bun.ner		jd	4820		s	Southern
lightning	noi.hee.ner	electric spark	noi.hee.ner		gar	4821		cp	Cape Portland
lightning	now.hum.mer	lightning	now.hum.mer	also word for devil (q.v.)	gar	4822		unk	unknown15
lightning	par.per.dy	lightning	par.per.dy		gar	4823		unk	unknown15
lightning	parb.be.ter	lightning (?)	par.per.dy		gar	4824		b	Bruny Island
lightning	poimettyé	lightning	poimettye		mj	4825		oyb	Oyster Bay
lightning	poimataleena	lightning	poimettye		mj	4826		b	Bruny Island
lightning	poimataleena	lightning	poimettye		mj	9783		s	Southern
lightning	rayeepoinee	lightning	poimettye		mj	10499		w	western tribes
lightning	rayeepoinee	lightning	poimettye		mj	10958		nw	
lightning	bulrelpia	thunder and lightning	poimettye		ws	11818	br	? e	
lightning	pukera	ball of fire	poimettye		ws	11819		? e	
limpet	loe.wore.rer.lay		loe.wore.rer.lay		gar	4426	plh	unk	unknown15
limpet	loulra		loe.wore.rer.lay		wn	4427		unk	unknown15
limpet	proe.ber		proe.ber		gar	4428		b	Bruny Island
limpet	poe.bar		proe.ber		gar	4429		b	Bruny Island
limpet	poe.bar		proe.ber		gar	9734		s	Southern
limpet	row.wer		row.wer		gar	4430		wc	Western Coast
limpet	tang.er		tang.er		gar	4431		wc	Western Coast
limpet	tang.er		tang.er		gar	4432		ri	Robbins Island, NW
limpet	tung		tang.er		gar	4433		unk	unknown15
limpet	tangah		tang.er		mj	4434		b	Bruny Island
limpet	tangah		tang.er		mj	9735		s	Southern
limpet	tar.rer.lar.gen.er		tar.rer.lar.gen.er	seems to be word for oyster rather than limpet	cr	4435		bl	Ben Lomond
limpet	trang.her.ner		trang.her.ner		gar	4436		oyb	Oyster Bay
limpet	trang.er.ner		trang.her.ner		gar	4437		oyb	Oyster Bay
limpet	tang.her.ner		trang.her.ner		gar	4438		oyb	Oyster Bay
limpet	wattah		ware.ter		mj	4440		oyb	Oyster Bay
limpet	wet.ter		ware.ter		cr	4441	lr	br	Big River
limpet	ware.ter		ware.ter		gar	10487		e	Eastern
limpet	ware.ter		ware.ter		gar	10946		oyb	Oyster Bay
limpet	ware.ter		ware.ter		gar	11405		ls	Little Swanport, east coast
lips	men.did.ic		men.did.ic		gar	708		? wc	
lips	men.rick.er	lips, mouth	men.rick.er		gar	709		ri	Robbins Island, NW
lips	mogudé lia	lèvres	mogude lia	similar with mougui to word for nose (mougui)	dr	710		se	Southeastern
lips	mogudé lia	lèvres	mogude lia		dle/f	711		se	Southeastern
lips	mogudai lea		mogude lia		dle	712		se	Southeastern
lips	mogudi lia		mogude lia		pl	713		se	Southeastern
lips	mangui lia	lèvres	mogude lia		drm	714		se	Southeastern
lips	moidee		mogude lia		br	715		se	Southeastern
lips	moyé		mogude lia		mj	716		b	Bruny Island
lips	moyé		mogude lia		mj	9320		s	Southern
lips	mon.ner		moo.ner	similar with moon.ner to mune.ne (nose)	cr	718	lr	br	Big River
lips	mounah		moo.ner		mj	719		oyb	Oyster Bay
lips	mõněh		moo.ner		wb	720		unk	unknown15
lips	moona		moo.ner		ar	721		unk	unknown15
lips	mona	lèvres	moo.ner		gm	722		dl	Port Dalrymple, Tamar River
lips	monda		moo.ner		bk	723		unk	unknown15
lips	moo.ner		moo.ner	appears to be same as monur (forehead)	gar	10321		pr	Piper River, NE
lips	moo.ner		moo.ner	appears to be same as monur (forehead)	gar	10780		cp	Cape Portland
lips	wãrlěrmĩnněr		warlerminner	this is the only word that seems wholly distinct from words for "mouth"	sn	724		unk	unknown15
lizard	moe.rin.ner	lizard	moe.rin.ner		gar	8562	jb	n	Northern tribes, but not always those to westward of the Tamar River
